comment,list of emojis,sentiment ranking,classification
💗💗😍😍😍,"['💗', '💗', '😍', '😍', '😍']",0.6704,Positive
❤️❤️😍,"['❤', '❤', '😍']",0.7233333333333333,Positive
💖💖💖💖💞,"['💖', '💖', '💖', '💖', '💞']",0.7188,Positive
JieronFieron❤️❤️😘😄,"['❤', '❤', '😘', '😄']",0.654,Positive
❤️❤️❤️❤️😍😍,"['❤', '❤', '❤', '❤', '😍', '😍']",0.7233333333333333,Positive
❤️❤️,"['❤', '❤']",0.746,Positive
♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,"['♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥', '♥']",0.6579999999999998,Positive
💖💖💖,"['💖', '💖', '💖']",0.713,Positive
❤️❤️ finalement tu es très amoureux à @nawfalalawamleh ❤️😍😍 lah ysakhar likom,"['❤', '❤', '❤', '😍', '😍']",0.7188,Positive
خلينا من بشرى وصحابها شكون قشع واحد تسلل ديال واحد سيدة شادة تبركيك من شرجم🙄,['🙄'],0.0,Objective / Non-conclusive
@bouchra_ddeau bienvenue à benslimane 👌,['👌'],0.564,Positive
🤑🤑🤑,"['🤑', '🤑', '🤑']",0.0,Objective / Non-conclusive
هههه و نتي بعدا خديتي عطلة غا جيتي و صمكتينا بتوقعاتك للحجر ،😥🙄,"['😥', '🙄']",0.0615,Positive
ههههههه المعقيم 🙌🙌🙌🙌,"['🙌', '🙌', '🙌', '🙌']",0.56,Positive
Wach lkmama kaydirouha taht nif ? Oula la mode hadi en plein Corona? Apres ga3 had lhayha li nayda c triste encore de ne pas savoir comment ça se porte ..! Hdi rassek a Bouchra👍,['👍'],0.522,Positive
Top 3lik al founoun💗,['💗'],0.659,Positive
👍👍👏👏👏😍😍😍😍,"['👍', '👍', '👏', '👏', '👏', '😍', '😍', '😍', '😍']",0.591,Positive
🌸🌸🌸,"['🌸', '🌸', '🌸']",0.652,Positive
مشاء الله عليك حوبي ديما كلاس الزين كانحماق عليك من قلبي ❤️😘,"['❤', '😘']",0.724,Positive
👏👏👏,"['👏', '👏', '👏']",0.521,Positive
😍😘😘😘❤️💘❤️,"['😍', '😘', '😘', '😘', '❤', '💘', '❤']",0.7092857142857143,Positive
👌🏻,"['👌', '🏻']",0.282,Positive
"🤲🏻ربي يحميكم ويحفظكم 
نبقاو علىٰ بال☝🏻","['🤲', '🏻', '☝', '🏻']",0.0785,Positive
❤️,['❤'],0.746,Positive
ههه الكمامة والتباعد فين هو🤣,['🤣'],0.0,Objective / Non-conclusive
Mtgolich khlala 3tlati goli khlala ftrat 3mlyt tjmil hhhh😂😂😂,"['😂', '😂', '😂']",0.221,Positive
أين هي مسافة الامان اما واحد الاخ لكمامة دايرها غير على دقنه😅😅,"['😅', '😅']",0.18,Positive
👍,['👍'],0.522,Positive
❤️,['❤'],0.746,Positive
💗💗💗💗💗💗😍😍😍😍,"['💗', '💗', '💗', '💗', '💗', '💗', '😍', '😍', '😍', '😍']",0.6666,Positive
نتمنى تشوفي مسج صفطو ليك بريفي شكرا 💔,['💔'],-0.122,Negative
💩💩,"['💩', '💩']",-0.118,Negative
❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤']",0.746,Positive
Beautiful lady ❤️❤️❤️❤️,"['❤', '❤', '❤', '❤']",0.746,Positive
Wax kolxi fltlo wla jabli lah 😂😂😂,"['😂', '😂', '😂']",0.221,Positive
🤣🤣🤣🤣🤣,"['🤣', '🤣', '🤣', '🤣', '🤣']",0.0,Objective / Non-conclusive
Lhob w ljamal wakol haja zwina  bghit n3eraf fin saybti seninat plis ❤️,['❤'],0.746,Positive
❤️,['❤'],0.746,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
Mima ya bouchra ❤️🤣,"['❤', '🤣']",0.373,Positive
Nice❤️😍,"['❤', '😍']",0.712,Positive
❤️❤️❤️❤️👏👏👏👏,"['❤', '❤', '❤', '❤', '👏', '👏', '👏', '👏']",0.6335,Positive
😍🌹🌷💟🌺🌼🌻😍👍,"['😍', '🌹', '🌷', '💟', '🌺', '🌼', '🌻', '😍', '👍']",0.6346666666666667,Positive
"تجدون آخر صيحات الموضة👸🏻 في عالم الجلابة المغربية العصرية والقفطان المغربي الأصيل💍👠💄تابعوا آخر صيحات الموضة فضلا  وليس أمرا 👇👇
@Khadija_elegance","['👸', '🏻', '💍', '👠', '💄', '👇', '👇']",0.3512857142857143,Positive
😘😘😘,"['😘', '😘', '😘']",0.702,Positive
🤮🤮🤮💩💩💩💩💩,"['🤮', '🤮', '🤮', '💩', '💩', '💩', '💩', '💩']",-0.07375,Negative
منورة مشاء الله عليك❤️😍😍😍😍,"['❤', '😍', '😍', '😍', '😍']",0.6916,Positive
❤️❤️❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤', '❤', '❤']",0.7459999999999999,Positive
❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤']",0.746,Positive
❤️❤️❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤', '❤', '❤']",0.7459999999999999,Positive
🤔🤔🤔🤔🙄🙄🙄🙄,"['🤔', '🤔', '🤔', '🤔', '🙄', '🙄', '🙄', '🙄']",0.0,Objective / Non-conclusive
❤️❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤', '❤']",0.746,Positive
❤️❤️❤️,"['❤', '❤', '❤']",0.746,Positive
@bouchra_ddeau  wax 3adi ykon lhajr sohiii kamel ya3ni fijami3 lmoudn?💔,['💔'],-0.122,Negative
شكرا❤️,['❤'],0.746,Positive
Bonne continuation Bouchra❤️❤️❤️,"['❤', '❤', '❤']",0.746,Positive
😘😘😘💘💘💘,"['😘', '😘', '😘', '💘', '💘', '💘']",0.6955,Positive
عاشقات الحلال هادي صفحة للزواج الحلال مرحبا 💍💍💍💙💙💙💜💜😍😍😍😍😍❤️❤️❤️,"['💍', '💍', '💍', '💙', '💙', '💙', '💜', '💜', '😍', '😍', '😍', '😍', '😍', '❤', '❤', '❤']",0.6630625000000001,Positive
وحتى المدارس تاهيا😮,['😮'],0.278,Positive
👍👍👍👍👍👍👍👍😍❤️,"['👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '😍', '❤']",0.5600000000000002,Positive
فرنسا كوبي المغرب كولي😂,['😂'],0.221,Positive
الحكومة وبكل ناطقيها الرسميين وغير الرسميين معندهمش الوجه ولا الصوت ولا الحشمة باش يخاطبو الشعب مفهمتش علاش مسخرين بشرى الضو بالنيابة وفهم تسطى 👏👏👏👏👏👏,"['👏', '👏', '👏', '👏', '👏', '👏']",0.521,Positive
دراتها فرنسا  هاد شهر شهرجاي يديرها مغرب 😅😅😅 ملي يتطبق حجر صحي  ديرو بحال فرنسا  تعويضات  شهرية  و  و اعفاء من ماء و ضوء و ملي يسالي حجر تاني نزلو علي ناس ب 100 الف ديال  ضوء  و لما تفو علي بلاد,"['😅', '😅', '😅']",0.18000000000000002,Positive
واليتي غاداويا اختي بوشرى ،كانت بدايتك صاروخية الصراحة ولكن بهاد السكوبات الملاوطين 👎 محال واش تحافظي على مصداقيتك في الساحة الإعلامية، والله يسهل عليك راك طفرة زوينة فهاد المجال.,['👎'],-0.19,Negative
فرنسا السابقون ونحن اللاحقون 🧐,['🧐'],0.0,Objective / Non-conclusive
باينة لي دارتها ماما فرانسا خاص يديرها ولدها المغرب ☺️ المغرب داير بحال لي ففلم ولد مو,['☺'],0.658,Positive
❤💖❤💖,"['❤', '💖', '❤', '💖']",0.7295,Positive
دوله رمات طعم لكن شافت ردت فعل غير متوقعه وأصبحت تكذب الأخبار 😎,['😎'],0.493,Positive
هل أنتم مستعدون إستعداد😂,['😂'],0.221,Positive
Trop belle machaella💓🌹,"['💓', '🌹']",0.641,Positive
أهلا وسهلا بكم في صفحتي و مرحبا بكم جميعا بدون استثناء🇦🇪🇩🇿🇲🇦,"['🇦', '🇪', '🇩', '🇿', '🇲', '🇦']",0.3085,Positive
❤️❤️😍,"['❤', '❤', '😍']",0.7233333333333333,Positive
❤️,['❤'],0.746,Positive
o_s4s_m اول شي ما يصير تحتفلي  بهذي المناسبة لان هذي بدعة ولم يفعلها لا رسول الله ولا الصحابة ثاني شي اصلا ما ورد ولم يثبت ان الرسول محمد ولد بهذا اليوم ثالث شي الرسول بريء منك ومن شكلك لانك من الكاسيات العاريات الي ذكرهم 😒👌🏻,"['😒', '👌', '🏻']",0.06299999999999999,Positive
دائما متألقة عيد مبارك 😍😍 #الارسول_الله,"['😍', '😍']",0.678,Positive
😍دمتي فخرا للمغرب عزيزتي😍❤️,"['😍', '😍', '❤']",0.7006666666666668,Positive
واش ذكرى المولد.  ام ذكرى الله يرحمها وضحي.  السوره لا تعبر عن ذكرى سيد الخلق 🙏,['🙏'],0.418,Positive
💜💜💜💜💜,"['💜', '💜', '💜', '💜', '💜']",0.656,Positive
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,"['😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍']",0.6780000000000005,Positive
🔥🙌😢❤️😮👏😂😍,"['🔥', '🙌', '😢', '❤', '😮', '👏', '😂', '😍']",0.39387500000000003,Positive
❤️,['❤'],0.746,Positive
صلى الله عليه و سلم❤️,['❤'],0.746,Positive
😍😍😍😍,"['😍', '😍', '😍', '😍']",0.678,Positive
@bouchra_ddeau Lma3na ha9i9i dyal titiza o msatya a khti howa nti 😂,['😂'],0.221,Positive
😍😍,"['😍', '😍']",0.678,Positive
😍❤️,"['😍', '❤']",0.712,Positive
👌🏻,"['👌', '🏻']",0.282,Positive
❤️,['❤'],0.746,Positive
😍,['😍'],0.678,Positive
ماسونية 😳😳😳,"['😳', '😳', '😳']",0.018,Positive
Rah 7ram li kydir  haka👌🏻,"['👌', '🏻']",0.282,Positive
👏🔥👏😢😍,"['👏', '🔥', '👏', '😢', '😍']",0.3734,Positive
بشرى البوقوسة ❤️❤️❤️❤️راك فنيونة,"['❤', '❤', '❤', '❤']",0.746,Positive
😍😍😍😍😍🔥🔥🔥🔥🔥🔥,"['😍', '😍', '😍', '😍', '😍', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥']",0.3845454545454546,Positive
ما فيك حتى خطأ اللفعة الكرطيطة ،٠٠،٠٠،٠٠😄😄,"['😄', '😄']",0.422,Positive
❤️❤️❤️❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤', '❤', '❤', '❤']",0.746,Positive
Cute ❤️😘,"['❤', '😘']",0.724,Positive
Bello vestido y mujer🌼🌼🌼🌼🌼🌼,"['🌼', '🌼', '🌼', '🌼', '🌼', '🌼']",0.811,Positive
Jitii toppp et kyout😍😍😍 ma chérie😘,"['😍', '😍', '😍', '😘']",0.684,Positive
❤️🔥🔥🔥🔥🔥🔥🔥🔥❤️❤️😍😍,"['❤', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '❤', '❤', '😍', '😍']",0.3626153846153847,Positive
زيانيتي يا لحلوفة😍😍😍,"['😍', '😍', '😍']",0.678,Positive
😍😍😍😍😍😍🌷🌷🌷,"['😍', '😍', '😍', '😍', '😍', '😍', '🌷', '🌷', '🌷']",0.636,Positive
دخلتك مجهدة الله يحفضك ماشاء الله تبارك الرحمن 🌸🌸🌸🌸🌸,"['🌸', '🌸', '🌸', '🌸', '🌸']",0.652,Positive
الله يكفيك شر عيون خلقه يابشرىٰ الضو ويحميك ويحفظك يارب 🤲🏻,"['🤲', '🏻']",0.0,Objective / Non-conclusive
الضو شعل ياختي😘😘,"['😘', '😘']",0.702,Positive
عندما يجتمع العقل و الجمال❤,['❤'],0.746,Positive
@ilborhane la coiffure😍,['😍'],0.678,Positive
"27/10/2020
تعبت من تبادل الاشتراكات والتواصل مع أشخاص لا تعرفهم 😓😓😓😓
تسعى لتحقيق  شروط اليوتيوب بأقصى وقت ممكن 🧭🧭🧭
قناتك متفعلة💲💲💲 وتسعى الى الحصول على الأرباح💲💲 التي قد تصل الى 100 دولار💲💲 شهريا عن طريق مشاهدات حقيقية وبطرق شرعية و قانونية بالكامل💯💯💯
♦️موقع دليلك شاهد♦️ أول وأقدم موقع عالميا 
يشرف عليه نخبة من🤵 اليوتيوبرية🤵 والبرامجة🕵️‍♂️ والمتخصصون🧙‍♂️ الذين يقدمون لك تحقيق الالاف المشتركين وتحقيق شرط 4000. ساعة في ظرف وجيز جدا 
كل ماعليك فقط  الولوج الى هذا الرابط سيقودك الى التلجرام  وستعرف طريقة العمل وكل التفاصيل هناك 🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️
👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻
https://t.me/joinchat/IBcyrReMlfsk68L_MtBMIQ","['😓', '😓', '😓', '😓', '🧭', '🧭', '🧭', '💲', '💲', '💲', '💲', '💲', '💲', '💲', '💯', '💯', '💯', '♦', '♦', '🤵', '🤵', '🕵', '♂', '🧙', '♂', '🏃', '♂', '🏃', '♀', '🏃', '♂', '🏃', '♀', '🏃', '♂', '🏃', '♀', '👇', '🏻', '👇', '🏻', '👇', '🏻', '👇', '🏻', '👇', '🏻', '👇', '🏻', '👇', '🏻', '👇', '🏻', '👇', '🏻', '👇', '🏻', '👇', '🏻']",0.17206779661016963,Positive
عنداكي ترجعي موضيل و تنسايناا 😭😭😭😭,"['😭', '😭', '😭', '😭']",-0.093,Negative
أحلى بشرى ضو 😘😘😘,"['😘', '😘', '😘']",0.702,Positive
اوييييلييي اشهااااد زييييينننن ياربييي❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '❤', '❤', '❤', '❤', '❤', '❤']",0.7173684210526318,Positive
Mashaallah ♥️♥️,"['♥', '♥']",0.658,Positive
Très Attirante 🔥🔥,"['🔥', '🔥']",0.14,Positive
إيه حلاوة ذي يا عسل ههه💞,['💞'],0.742,Positive
❤️,['❤'],0.746,Positive
🌷🌷🌷,"['🌷', '🌷', '🌷']",0.552,Positive
هاد الخرية هادي تفووو💩💩💩💩,"['💩', '💩', '💩', '💩']",-0.118,Negative
Lfeeena❤️😍,"['❤', '😍']",0.712,Positive
Jiti zwina 😍,['😍'],0.678,Positive
😍😍😍😍😍😍😍😍❤️,"['😍', '😍', '😍', '😍', '😍', '😍', '😍', '😍', '❤']",0.6855555555555556,Positive
ستري راسك الموت كدور👏👏👏,"['👏', '👏', '👏']",0.521,Positive
ترامب لي غادي يفوز بلولاية ثانية ، ماغديش يكملها😉,['😉'],0.464,Positive
شكرا على التوضيح 👍👍👍,"['👍', '👍', '👍']",0.522,Positive
بايدن 👌,['👌'],0.564,Positive
رحم الله من رباك  و علمك ❤️ مزيدا من العطاء لما فيه خير,['❤'],0.746,Positive
يا ديها كاملة يا خليها 😂😂,"['😂', '😂']",0.221,Positive
🙌🙌🙌👏👏👏👏,"['🙌', '🙌', '🙌', '👏', '👏', '👏', '👏']",0.5377142857142857,Positive
Sara7a had lvideo nadi 👍🔥,"['👍', '🔥']",0.331,Positive
👏👏👏,"['👏', '👏', '👏']",0.521,Positive
ترامب 😧😧😧,"['😧', '😧', '😧']",-0.065,Negative
@khaoula_bellamine 🙂👍🏻,"['🙂', '👍', '🏻']",0.17400000000000002,Positive
🙌Tooop bon courage,['🙌'],0.56,Positive
عواظ ما تبقى تقلب و تشقلب على فيلم بسواايع😪😪 دير فولوا ووبرع رااسك و اختصر الوقت 🔥🎬,"['😪', '😪', '🔥', '🎬']",0.0695,Positive
😍خدمة نقية,['😍'],0.678,Positive
اللهم صل على سيدنا محمد ❤️🙌 #مقاطعون_لأجل_كرامتنا,"['❤', '🙌']",0.653,Positive
❤️❤️,"['❤', '❤']",0.746,Positive
❤️❤️,"['❤', '❤']",0.746,Positive
Je kiffe 👏,['👏'],0.521,Positive
هل تعلم أن لا احد يدعمني ؟ لأنني أنشر الثقافة والفائدة ولا أنشر الرقص والفاحشة 💗😢,"['💗', '😢']",0.333,Positive
https://www.youtube.com/channel/UCuzPIIvbt2ExSu8e2kZfqzA chi abonner alkhot❤️,['❤'],0.746,Positive
قصة رائعة وبرنامج جد هادف شكرا لك على كل مجهوداتك 🙏🏻🙏🏻🙏🏻,"['🙏', '🏻', '🙏', '🏻', '🙏', '🏻']",0.209,Positive
💢💢💢فقدتي الأمل فالحياة مشاتلك العدرية ديالك خرجتي من ثاني ابتدائي دوزتي الحبس طحتي من سما متي غرقتي ... ماعليك غير تقصد لباج ديالنا فوج على راسك دائم الله 😂💥 هادشي كامل باش نكول ليك شوف سطوري أو الفيديو لي طاح ليك ف بالك غادي تلقاه عدنا  أو فرحنا ب أبوني ما غادي تخسر والو 🔥❤️💯💥😂🤦🏻‍♂️,"['💢', '💢', '💢', '😂', '💥', '🔥', '❤', '💯', '💥', '😂', '🤦', '🏻', '♂']",0.20746153846153847,Positive
بغيناك دير لينا شي فيديو 🎥كتشرش فيه  نداول لفوريكس,['🎥'],0.303,Positive
💜💜💜,"['💜', '💜', '💜']",0.656,Positive
👍👍👍👍,"['👍', '👍', '👍', '👍']",0.522,Positive
مشاااء الله👍👍,"['👍', '👍']",0.522,Positive
👍👍👍👍,"['👍', '👍', '👍', '👍']",0.522,Positive
عمل جد رائع❤️,['❤'],0.746,Positive
فكرة رائعة، النقص حاصل حتى في مجال التربية من أجل الصحة. ونحن معك. التجربة الأولى التي قمنا بها خلال هذه الجائحة كانت لابأس بها. 👍🏻,"['👍', '🏻']",0.261,Positive
Iwa twakal 3la lah i dir chi serie dyl (rosom) tkon zwina mn l afkar dyalk bach nl9aw fach itfrjo wladna ❤️ inshaalah,['❤'],0.746,Positive
أعجبت كثيرا بهذه المبادرة وهذا العمل والمحتوى الجميل الهادف. أنا وصديقتي من تونس نتشارك معكم هذه الفكرة. نحتاج فعلا محتوى للأطفال خاصة في المغرب العربي.. هذه واحدة محاولاتنا المتواضعة على الساوندكلاود لمست أطفال أقربائنا وأصدقائنا ونطمح للأفضل بإذن الله. أهنئكم بهذا الانتاج الطيب آملين أن نترك أثرا يحمل قيمنا وأخلاقنا والكثير من الرسائل الطيبة  للأجيال القادمة بإذن ربي ❤️ https://soundcloud.app.goo.gl/XPRC,['❤'],0.746,Positive
كون غير غالب الشباب كيفكروا بطريقتك 💚,['💚'],0.659,Positive
"هنا يمكنك البوح بكل ما تريد ، دون أن  تزعجك نظرات الآخرين 🗨
 
هنا يمكنك البوح بسر أو مشكل لتعرف أراء ونصائج الاخرين، دون أن يعرف أحد اسمك 🗣","['🗨', '🗣']",0.0,Objective / Non-conclusive
Good work ❤️💫,"['❤', '💫']",0.629,Positive
Je vous encourage à réaliser du contenu pour enfant. A titre d'exemple les miens trouvent leur intérêt dans des vidéos qui sont loins de notre réalité. J'imagine aussi que ce type de contenu nécessite beaucoup de créativité et de pédagogie. Vu votre expérience et votre dévouement j'ai confiance que vous aller réussir à produire de très belles choses. Nous comptons sur vous👍,['👍'],0.522,Positive
❤️الله يوفق و الله يجعلها صدقة جارية,['❤'],0.746,Positive
عمل رائع جدا واصلو وفقكم الله 💪💪,"['💪', '💪']",0.556,Positive
👏🙌,"['👏', '🙌']",0.5405,Positive
براڤو 👏❤️❤️,"['👏', '❤', '❤']",0.6709999999999999,Positive
👏👏❤️❤️,"['👏', '👏', '❤', '❤']",0.6335,Positive
هل تعلم أن لا احد يدعمني ؟ لأنني أنشر الثقافة والفائدة ولا أنشر الرقص والفاحشة 💗😢,"['💗', '😢']",0.333,Positive
حتى انا درت هاد الفيديو بصوتي لكن حتى واحد ماتفاعل معايا للأسف 😔,['😔'],-0.146,Negative
ياريت ماكرهناش شي محتوى نقي لاطفالنا  و تكون قصص دينية بطريقة بسيطة 👍👍,"['👍', '👍']",0.522,Positive
Mérité 👌👌,"['👌', '👌']",0.564,Positive
😍😍,"['😍', '😍']",0.678,Positive
🔥🔥😍😍❤️❤️,"['🔥', '🔥', '😍', '😍', '❤', '❤']",0.5213333333333333,Positive
👏👏تستاهل,"['👏', '👏']",0.521,Positive
👏👏👏👏,"['👏', '👏', '👏', '👏']",0.521,Positive
❤️tstahl,['❤'],0.746,Positive
Courage 😍😍,"['😍', '😍']",0.678,Positive
Merci pour le courage que vous nous présentez. ❤️,['❤'],0.746,Positive
اكيد اخويا المحتوى المفيد والهادف صعيب اطلع ستافدنا من بزاف ومن خلالك عرفنا بزاف ديال الحوايج الله اكثر خير ومسيرة موفقة ان شاء الله وكنتمنى من اليوتوبرز  والانستغراميو ن والفايسيوكيون الكبار ادورو بحالك اعطيونا محتوى زوين ومفيد ماشي هادشي ليكانشوفو دابا كيببعو الوهم للمراهقين كيشجعو على الفساد  كتشوف يوتوبرز عندها بزاف متابعين كضرب مليون مشاهدة فنهار كدخل كتلقى التراهات اكاذيب وكتكون قدوة للبنات المراهقات كيبغيو ادورو بحالها باش بالحرام كنتمنى بحال هاد اانماذج منعطيهومش قيمة حيت حنى ليكانطلعوهوم لنرتقي في افكارنا واكون عندنا مستوى تبارك الله عليك اخويا تستاهل اكثر 👍👍👍👍🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦,"['👍', '👍', '👍', '👍', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦']",0.3446249999999999,Positive
👏👏,"['👏', '👏']",0.521,Positive
❤️,['❤'],0.746,Positive
تستاهل 👏 العقبة لشي 10 دلمليون وكتر ان شاء الله ، الله اسهل عليك ❤️,"['👏', '❤']",0.6335,Positive
أتمنى أن ترى رسالتي 🙏🏻 @mustapha_swinga,"['🙏', '🏻']",0.209,Positive
👏👏,"['👏', '👏']",0.521,Positive
كنحط افلام 😍🔥,"['😍', '🔥']",0.40900000000000003,Positive
انا كنغني فأنستغرام مرحبا بكم عندي محتاج الدعم ديالكم باش نزيد القدام 😍❤️,"['😍', '❤']",0.712,Positive
❤️❤️❤️,"['❤', '❤', '❤']",0.746,Positive
علاش مركز بزاف على انستغرام  راه الشعب خدام غير بنجمة 6 الصاط وفي فايسبوك تقدر توصل 7 مليون في شهر ❤,['❤'],0.746,Positive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
👍👍👍❤️❤️❤️,"['👍', '👍', '👍', '❤', '❤', '❤']",0.634,Positive
"😂 الجلسة ديال ال ""death note »",['😂'],0.221,Positive
❤️🔥,"['❤', '🔥']",0.443,Positive
🔥😂,"['🔥', '😂']",0.1805,Positive
🔥🔥🔥🔥❤️❤️❤️❤️,"['🔥', '🔥', '🔥', '🔥', '❤', '❤', '❤', '❤']",0.443,Positive
Malk akhouya 3la gelsa dyal L Ryuzaki😂,['😂'],0.221,Positive
L❤️,['❤'],0.746,Positive
"🤔🤔🤔 ممكن دير لينا حلقة ف"" أجي تفهم "" على المنعشين العقاريين والنوار والنوطيرات هضر لينا على النقط السوداء فهاذ الملف باش المواطينين يردو البال ماشي كلشي غادي بما يرضي الله تحياتي","['🤔', '🤔', '🤔']",0.0,Objective / Non-conclusive
😂,['😂'],0.221,Positive
❤️,['❤'],0.746,Positive
نود تريني😂,['😂'],0.221,Positive
💙💙,"['💙', '💙']",0.732,Positive
انا كنغني فأنستغرام مرحبا بكم عندي محتاج الدعم ديالكم باش نزيد القدام 😍❤️,"['😍', '❤']",0.712,Positive
❤️❤️👏👏,"['❤', '❤', '👏', '👏']",0.6335,Positive
🔥🔥❤️❤️,"['🔥', '🔥', '❤', '❤']",0.443,Positive
نتا غادي فالطريق الصحيح كمل متخلي تا حاجة توقفك متنساش القرآن و الاذكار هوما تيريحوا الإنسان أو تيجددوا طاقتك الله يوفقك تنتمنا شي نهار نخدموا بجوج ✌✌😊😊,"['✌', '✌', '😊', '😊']",0.5545,Positive
العالم تخربق🙏,['🙏'],0.418,Positive
🔵,['🔵'],0.333,Positive
العجائب والغرائب والعجائب🔥🔥❤️🔵,"['🔥', '🔥', '❤', '🔵']",0.33975,Positive
مخبي لي مكتبو لينا المدبر سبحانه وتعالى. 😉,['😉'],0.464,Positive
Saalaaate w Do3aaa 😍,['😍'],0.678,Positive
Ssi @mustapha_swinga  katwrina les muscles ze3ma 😂 aucun relation entre le contenue et l'image!!!🙄🙄,"['😂', '🙄', '🙄']",0.07366666666666667,Positive
شي دعيوا عندي متيحان غدا 🙌♥️,"['🙌', '♥']",0.609,Positive
لي بغات تربح فلوس من انترنت بطريقة ساهلة 😍😍 بحال جميع ناس في هاد الوقت..ديري بحالي ماعليك غير  دخل لغوغل وتكتب cash pub اول موقع دخل ليه و تسجل فيه طريقة باينة و سهلة ما تاخد من وقتك غير جوج دقايق دخل المعلومات ديالك غاتلقى واحد الخانة مكتوب فيه code parrainage كتب في هاد الكود 2549094 دير  m inscrire وماكدا كملتي تسجيل ديالك من بعد بدا تدخل اشهارات و تفراج فيه مني تبان ليك click ici كليكي عليها ضروري باش يتحسبو ليك نقاط حتى كاتوثل خمسين الف نقطة كايصيفطو لك كود باش تيري الف درهم في cash plus العملية فيه خمس دقائق جراب وحكم عن تجربة وبالتوفيق❤❤❤,"['😍', '😍', '❤', '❤', '❤']",0.7188000000000001,Positive
قرآة القرآن هي اكثر حاجة كتفيذني فهاذ المواقف❤️,['❤'],0.746,Positive
🙌🙌,"['🙌', '🙌']",0.56,Positive
Tbarkllah elik ♥️🇲🇦🇲🇦❤️,"['♥', '🇲', '🇦', '🇲', '🇦', '❤']",0.4243333333333334,Positive
😂,['😂'],0.221,Positive
🙌,['🙌'],0.56,Positive
خوية دخل لشي صال و لبس ليكات و سخن مزيان و تقابل مع الصاك اخاي مصطفى وعطييييييه ورد عليا اتخرج سوينكا اخر 💪🏻💪🏻,"['💪', '🏻', '💪', '🏻']",0.278,Positive
🙌,['🙌'],0.56,Positive
كن مع الله ولا تبالي 🙌,['🙌'],0.56,Positive
💪💪💪,"['💪', '💪', '💪']",0.556,Positive
اسيان بولت 😂👏,"['😂', '👏']",0.371,Positive
😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
Jiti b7al rio f casadepapel 😂,['😂'],0.221,Positive
❤️👏,"['❤', '👏']",0.6335,Positive
🖤✌️🖤✌️🖤,"['🖤', '✌', '🖤', '✌', '🖤']",0.18560000000000001,Positive
دخلو شوفو اروع ديكورا ت منزلية  غادي تعجبكم كاملييين  الابداع والفن 🎨🎨😍😍🙌🙌🔥🔥 التوصيل اي ديكور لاي مدينة او لاي دولة مرحبا بالجميع  او زوروا صفحتنا على الفايسبوك  #Decor_fatihi  او اتصلو بنا عبر الواتساب  00212609662404,"['🎨', '🎨', '😍', '😍', '🙌', '🙌', '🔥', '🔥']",0.3945000000000001,Positive
❤️❤️❤️❤️,"['❤', '❤', '❤', '❤']",0.746,Positive
@elhimy you rock bud 👌🏾,"['👌', '🏾']",0.282,Positive
❤️,['❤'],0.746,Positive
واخا تكون صور ما فيها تا معنى لا مضمون لا والو تستحق قلب بلل مانشوف شنو لايح الثقة العمياء أعشيري 😍,['😍'],0.678,Positive
🙌,['🙌'],0.56,Positive
الملك مخلوع! من يا ترى يمكنه خلع محمد السادس يا ترى 🤔,['🤔'],0.0,Objective / Non-conclusive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
